"VA Station Number",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
vha_674GC,"1651 Rock Prairie Road","College Station",TX,77845-8652,30.583708,-96.290038,1,rooftop,1651,"Rock Prairie Rd",,,"College Station",TX,"Brazos County",77845,US,Brazos,2019,48,48041,"College Station",4815976,001801,2021,2,480410018012021,"College Station-Bryan, TX",17780,metropolitan,,,,
vha_674GD,"1401 Medical Parkway","Cedar Park",TX,78613-2216,30.531959,-97.810958,1,rooftop,1401,"Medical Pkwy",,,"Cedar Park",TX,"Williamson County",78613,US,Capcog,2019,48,48491,"Cedar Park",4813552,020320,3011,3,484910203203011,"Austin-Round Rock-Georgetown, TX",12420,metropolitan,,,,
vha_674GF,"4501 South General Bruce Drive",Temple,TX,76502-1466,31.085079,-97.398977,1,rooftop,4501,"S General Bruce Dr",,,Temple,TX,"Bell County",76502,US,"City of Temple",2019,48,48027,Temple,4872176,021203,2006,2,480270212032006,"Killeen-Temple, TX",28660,metropolitan,,,,
vha_674HB,"2 Saint Marks Place",LaGrange,TX,78945-1251,29.934445,-96.87706,1,rooftop,2,"St Marks Pl",,,"La Grange",TX,"Fayette County",78945,US,Capcog,2019,48,48149,"La Grange",4840276,970300,1000,1,481499703001000,,,,,,,
vha_675,"13800 Veterans Way",Orlando,FL,32827-5812,28.366196,-81.276056,1,rooftop,13800,"Veterans Way",,,Orlando,FL,"Orange County",32827,US,"Orange County",2019,12,12095,Orlando,1253000,016802,1249,1,120950168021249,"Orlando-Kissimmee-Sanford, FL",36740,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
vha_675GA,"2900 Veterans Way",Viera,FL,32940-8007,28.256143,-80.743668,1,rooftop,2900,"Veterans Way",,,Melbourne,FL,"Brevard County",32940,US,"Brevard County",2019,12,12009,"Viera West",1274370,071200,1137,1,120090712001137,"Palm Bay-Melbourne-Titusville, FL",37340,metropolitan,,,,
vha_675GB,"551 National Health Care Drive","Daytona Beach",FL,32114-1495,29.205868,-81.062081,1,rooftop,551,"National Health Care Dr",,,"Daytona Beach",FL,"Volusia County",32114,US,Statewide2,2019,12,12127,"Daytona Beach",1216525,082301,2002,2,121270823012002,"Deltona-Daytona Beach-Ormond Beach, FL",19660,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
vha_675GC,"2285 North Central Avenue",Kissimmee,FL,34741-2342,28.312993,-81.408091,1,rooftop,2285,"N Central Ave",,,Kissimmee,FL,"Osceola County",34741,US,Osceola,2019,12,12097,Kissimmee,1236950,042200,1016,1,120970422001016,"Orlando-Kissimmee-Sanford, FL",36740,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
vha_675GD,"1200 Deltona Boulevard",Deltona,FL,32725-6386,28.89598,-81.272651,1,rooftop,1200,"Deltona Blvd",,,Deltona,FL,"Volusia County",32725,US,"Volusia County",2019,12,12127,Deltona,1217200,091018,1017,1,121270910181017,"Deltona-Daytona Beach-Ormond Beach, FL",19660,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
vha_675GE,"1390 East Burleigh Boulevard",Tavares,FL,32778-4305,28.821359,-81.712941,1,rooftop,1390,"E Burleigh Blvd",,,Tavares,FL,"Lake County",32778,US,Statewide2,2019,12,12069,Tavares,1271225,030803,1004,1,120690308031004,"Orlando-Kissimmee-Sanford, FL",36740,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
