VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_605GD,605,2045 Compton Avenue,Corona,CA,6065.0,,,,
vha_605GE,605,8599 Haven Avenue,Rancho Cucamonga,CA,6071.0,,,,
vha_605QA,605,1273 West Hobson Way,Blythe,CA,6065.0,,,,
vha_607,607,2500 Overlook Terrace,Madison,WI,55025.0,216.0,46.0,162.0,8.0
vha_607GC,607,1141 Black Bridge Road,Janesville,WI,55105.0,,,,
vha_607GD,607,1670 South Boulevard,Baraboo,WI,55111.0,,,,
vha_607GE,607,215 Corporate Drive,Beaver Dam,WI,55027.0,,,,
vha_607GF,607,750 Kiwanis Drive,Freeport,IL,17177.0,,,,
vha_607GG,607,1 Science Court,Madison,WI,55025.0,216.0,46.0,162.0,8.0
vha_607HA,607,816 Featherstone Road,Rockford,IL,17201.0,,,,
vha_608,608,718 Smyth Road,Manchester,NH,33011.0,92.0,3.0,76.0,13.0
vha_608GA,608,302 Newmarket Street,Portsmouth,NH,33015.0,,,,
vha_608GC,608,5 Terrascape Parkway,Somersworth,NH,33017.0,,,,
vha_608GD,608,71 Hobbs Street,Conway,NH,33003.0,,,,
vha_608HA,608,630 West Main Street,Tilton,NH,33001.0,,,,
vha_610,610,1700 East 38th Street,Marion,IN,18053.0,,,,
vha_610A4,610,2121 Lake Avenue,Fort Wayne,IN,18003.0,204.0,17.0,178.0,9.0
vha_610BY,610,1540 Trinity Place,Mishawaka,IN,18141.0,,,,
vha_610GB,610,3401 North Morrison Road,Muncie,IN,18035.0,,,,
vha_610GC,610,2606 Peddlers Village Road,Goshen,IN,18039.0,,,,
vha_610GD,610,750 North Broadway,Peru,IN,18103.0,,,,
vha_610QA,610,2500 East State Boulevard,Fort Wayne,IN,18003.0,204.0,17.0,178.0,9.0
vha_610QB,610,340 Columbia Place,South Bend,IN,18141.0,,,,
vha_612A4,612,10535 Hospital Way,Mather,CA,6067.0,428.0,35.0,374.0,19.0
vha_612B4,612,351 Hartnell Avenue,Redding,CA,6089.0,,,,
vha_612BY,612,2221 Martin Luther King Jr. Way,Oakland,CA,6001.0,,,,
vha_612GD,612,103 Bodin Circle,Travis AFB,CA,6095.0,,,,
vha_612GE,612,201 Walnut Avenue,Mare Island,CA,6095.0,,,,
vha_612GF,612,150 Muir Road,Martinez,CA,6013.0,,,,
vha_612GG,612,1601 Concord Avenue,Chico,CA,6007.0,,,,
vha_612GH,612,5342 Dudley Boulevard,McClellan Park,CA,6067.0,,,,
vha_612GI,612,425 Plumas Boulevard,Yuba City,CA,6101.0,,,,
vha_612GJ,612,101 East Oberlin Road,Yreka,CA,6093.0,,,,
